URL (Canonical / Link),slug,H1,meta_title,meta_description,robots,layout,weight,image,draft
https://reklamai.lt/,,Reklamos gamyba ir skaitmeninė spauda,Reklamos gamyba ir skaitmeninė spauda | Primum Print | reklamai.lt,"Primum Print – reklamos gamybos ir skaitmeninės spaudos paslaugų įmonė, teikianti plačiaformatės spaudos bei kartono gaminių sprendimus.","index, follow",home,10,,FALSE
,,,,,,,,,
https://reklamai.lt/spauda/,spauda,Plačiaformatė spauda,Plačiaformatė spauda verslui | Primum Print | reklamai.lt,"Plačiaformatė spauda. Patvarios medžiagos, nepriekaištinga kokybė, ryškios spalvos ir greitas pristatymas visoje Lietuvoje.","index, follow",list,20,,FALSE
https://reklamai.lt/backlit/,backlit,Backlit plakatai šviesdėžėms,Backlit plakatai šviesdėžėms | Primum Print | reklamai.lt,"Specialūs backlit plakatai šviesdėžėms ir reklaminiams kasetonams. Tolygus šviesos pralaidumas, sodrios spalvos ir ilgaamžės medžiagos įvairiems formatams.","index, follow",page,10,,FALSE
https://reklamai.lt/uv-spauda/,uv-spauda,Tiesioginė UV spauda,Tiesioginė UV spauda | Primum Print | reklamai.lt,"Tiesioginė plokščiaatspaudė (flatbed) UV spauda ant medžio, stiklo, plastiko ir metalo. Nepriekaištinga raiška ir atsparumas įbrėžimams.","index, follow",page,20,,FALSE
https://reklamai.lt/drobes/,drobes,Fotodrobių spausdinimas,Fotodrobių spausdinimas | Primum Print | reklamai.lt,"Fotodrobių gamyba verslui ir interjerui. Aukščiausia spaudos raiška, natūralios tekstūros, sodrios spalvos ir individualūs matmenys.","index, follow",page,30,,FALSE
https://reklamai.lt/tentai/,tentai,Reklaminių tentų gamyba,Reklaminių tentų gamyba | Primum Print | reklamai.lt,"Reklaminių tentų gamyba lauko reklamai. Visiems oro sąlygoms atsparios medžiagos, sutvirtinti kraštai, metalinės kilpos (liuvesiai), ilgaamžė spauda.","index, follow",page,40,,FALSE
https://reklamai.lt/etiketes/,etiketes,Lipdukų ir etikečių gamyba,Lipdukų ir etikečių gamyba | Primum Print | reklamai.lt,"Aukščiausios kokybės lipdukai ir etiketės. Itin stiprūs, drėgmei ir UV spinduliams atsparūs klijai, nepriekaištinga spaudos raiška bei gamyba pagal individualius poreikius.","index, follow",page,50,,FALSE
https://reklamai.lt/iskabos-sviesdezes/,iskabos-sviesdezes,Reklaminių iškabų ir šviesdėžių gamyba,Reklaminės iškabos ir šviesdėžės | Primum Print | reklamai.lt,"Reklaminių iškabų ir šviesdėžių gamyba verslui. Ilgaamžiai apšvietimo sprendimai, ryškus matomumas.","index, follow",page,,,TRUE
https://reklamai.lt/lenteles/,lenteles,Informacinių lentelių ir ženklų gamyba,Informacinių lentelių gamyba | Primum Print | reklamai.lt,"Gamybinių lentelių, informacinių ženklų ir nuorodų gamyba. Mechaninis atsparumas, aiškus matomumas, ilgaamžės plastiko bei metalo medžiagos ir individualūs sprendimai.","index, follow",page,60,,FALSE
,,,,,,,,,
https://reklamai.lt/kartono-sprendimai-reklamai/,Kartono-sprendimai-reklamai,Kartono gaminiai reklamai ir pakuotės,Kartono gaminiai reklamai | Primum Print | reklamai.lt,"Kartono gaminiai reklamai ir pakuotės verslui. Individualūs projektai, ekologiškos medžiaga, ilgaamžė spauda ir tikslus gamybos terminas.","index, follow",list,20,,FALSE
https://reklamai.lt/stovai/,stovai,Reklaminių ir prekybinių stovų gamyba,"Reklaminiai, prekybiniai stovai | Primum Print | reklamai.lt","Reklaminių ir prekybinių stovų iš kartono gamyba. Individualios konstrukcijos, stabilios medžiagos, aukštos kokybės spauda ir greitas realizavimo terminas.","index, follow",page,10,,FALSE
https://reklamai.lt/prekybiniai-stoveliai/,prekybiniai-stoveliai,"Prekybiniai stoveliai, prekių laikikliai iš kartono",Prekybiniai stoveliai iš kartono | Primum Print | reklamai.lt,"Praktiški stoveliai prekybai, reklamai, meniu ir kainoms. Gaminame pagal užsakymą, pritaikome Jūsų prekės ženklui ir greitai pristatome visoje šalyje.","index, follow",page,20,,FALSE
https://reklamai.lt/paletines-dekoracijos/,paletines-dekoracijos,Paletinių dekoracijų ir apjuosimų gamyba,"
Dekoracijos ir apjuosimai paletems | Primum Print | reklamai.lt
","Paletinių dekoracijų ir apjuosimų gamyba prekybos vietoms. Individuali spauda, tvirtas kartonas, nestandartiniai sprendimai, palankūs terminai.","index, follow",page,30,,FALSE
https://reklamai.lt/progines-dezutes/,progines-dezutes,Proginių ir dovanų dėžučių gamyba,Proginių ir dovanų dėžučių gamyba | Primum Print | reklamai.lt,"Proginių ir dovanų dėžučių iš kartono gamyba verslui. Individualus dizainas, kokybiška spauda, gamyba nuo mažų tiražų ir tikslūs terminai.","index, follow",page,40,,FALSE
https://reklamai.lt/dezes/,dezes,Kartono dėžių ir pakuočių gamyba,Kartono dėžių ir pakuočių gamyba | Primum Print | reklamai.lt,"Kartono dėžių ir pakuočių gamyba verslui. Tvarios medžiagos, tvirtos konstrukcijos, individualūs matmenys ir kiekiai. Visų spalvų spauda, ","index, follow",page,50,,FALSE
,,,,,,,,,
https://reklamai.lt/saugiam-verslui/,saugiam-verslui,Apsauginės pertvaros ir priemonės verslui,Apsauginės akrilo pertvaros | Primum Print | reklamai.lt,"Apsauginės pertvaros iš 5 mm skaidraus akrilo biurams, prekybos vietoms ir paslaugų sektoriui. Gamyba pagal užsakymą.","index, follow",page,90,,FALSE
