URL (Canonical / Link),slug,H1,menu_title,meta_title,meta_description,robots,layout,weight,image,draft,content,,
https://reklamai.lt/,,Reklamos gamyba ir skaitmeninė spauda,,Reklamos gamyba ir skaitmeninė spauda | Primum Print | reklamai.lt,"Primum Print – reklamos gamybos ir skaitmeninės spaudos paslaugų įmonė, teikianti plačiaformatės spaudos bei kartono gaminių sprendimus.","index, follow",home,10,,FALSE,,,
,,,,,,,,,,,,,
https://reklamai.lt/spauda/,spauda,Plačiaformatė spauda,Plačiaformatė spauda,Plačiaformatė spauda verslui ir reklamai | Primum Print,"Profesionali plačiaformatė spauda ant įvairių medžiagų. Susipažinkite su mūsų sprendimais: nuo tentų ir lipdukų iki UV spaudos bei fotodrobių. Patvarios medžiagos, nepriekaištinga kokybė, ryškios spalvos ir greitas pristatymas visoje Lietuvoje.","index, follow",list,20,,FALSE,"<p>Ieškote patikimų didelio formato spaudos sprendimų savo verslui, biurui ar reklaminei kampanijai? Čia rasite visą mūsų siūlomą asortimentą – nuo lauko reklamos elementų iki išskirtinių interjero detalių ir pakuočių.</p>

<p>Kiekviena produktų kategorija pritaikyta individualiems poreikiams, užtikrinant ilgaamžiškumą, ryškias spalvas ir atsparumą aplinkos poveikiui.</p>

<h3>Mūsų paslaugos ir sprendimai:</h3>
<ul>
    <li><strong>Lauko reklama:</strong> <a href=""/tentai/"">Reklaminiai tentai</a> – tvirti, atsparūs oro sąlygoms sprendimai su metalinėmis kilpomis.</li>
    <li><strong>Spauda ant plokščių ir kietų paviršių:</strong> <a href=""/uv-spauda/"">Tiesioginė UV spauda</a> ant medžio, stiklo, plastiko ar metalo.</li>
    <li><strong>Apšviečiami elementai:</strong> <a href=""/backlit/"">Backlit plakatai</a> šviesdėžėms ir reklaminiams kasetonams.</li>
    <li><strong>Lipdukai ir ženklinimas:</strong> <a href=""/etiketes/"">Lipdukai bei etiketės</a> su stipriais, drėgmei ir UV spinduliams atspariais klijais.</li>
    <li><strong>Interjeras ir dekoras:</strong> <a href=""/drobes/"">Fotodrobių spausdinimas</a> namams, biurui ar prezentacijoms.</li>
    <li><strong>Informacinės sistemos:</strong> <a href=""/lenteles/"">Informacinės lentelės ir ženklai</a> su mechaniniu atsparumu.</li>
</ul>

<p>Jei turite nestandartinį projektą ar nežinote, kuri technologija geriausiai tinka Jūsų idėjai, <a href=""/kontaktai/"">susisiekite su mūsų komanda</a> – padėsime pasirinkti optimaliausią variantą.</p>",,
https://reklamai.lt/backlit/,backlit,Backlit plakatai šviesdėžėms,Backlit plakatai,Backlit plakatai šviesdėžėms | Primum Print | reklamai.lt,"Specialūs backlit plakatai šviesdėžėms ir reklaminiams kasetonams. Tolygus šviesos pralaidumas, sodrios spalvos ir ilgaamžės medžiagos įvairiems formatams.","index, follow",page,10,,FALSE,"<p><strong>BACKLIT plakatas su spauda</strong> – tai speciali, šviesai pralaidi (translucentinė) medžiaga, skirta naudoti šviesdėžėse, LED rėmeliuose, informaciniuose stenduose bei visose vidinį apšvietimą turinčiose konstrukcijose. Specialus medžiagos sluoksnis užtikrina tolygų šviesos sklaidą, todėl visas reklamos plotas atrodo ryškus, kontrastingas ir pastebimas.</p>

<p>Tai praktiškas pasirinkimas vidaus bei lauko šviečiančiai reklamai parduotuvėse, prekybos centruose, kavinėse, restoranuose, kino teatruose ar parodose.</p>

<h3>Pagrindinės backlit spaudos savybės ir privalumai:</h3>
<ul>
    <li><strong>Puikus šviesos pralaidumas:</strong> Tolygiai paskirsto šviesą nuo galinio apšvietimo (LED ar lempų), pašalindamas neestetiškus šviesos taškus.</li>
    <li><strong>Gilios ir sodrios spalvos:</strong> Grafika išlieka itin ryški ir išraiškinga tiek dieną, tiek sutemus.</li>
    <li><strong>Matmenų stabilumas ir atsparumas:</strong> Medžiaga atspari drėgmei, temperatūros svyravimams bei šviesos šaltinių generuojamai šilumai, kas užtikrina ilgaamžiškumą šviesdėžėse ir citylight stenduose.</li>
    <li><strong>Įvairūs sprendimai:</strong> Galime pasiūlyti ir specifines parinktis – nuo klasikinės spaudos iki backlit tekstilių spaudos (šviesdėžėms, vitrinoms ar įtempiamoms luboms), atliekant profesionalų apdirbimą pagal Jūsų nurodytą formą ir tvirtinimo būdą.</li>
</ul>

<h3>Lankstus užsakymų vykdymas ir pristatymas</h3>
<p>Priimame užsakymus spaustuvėje tiek dideliais tiražais, pasiūlydami patrauklias nuolaidas, tiek gaminame vienetinius projektus – <strong>nuo 1 egzemplioriaus</strong>. Gamyba atliekama pateikus techniškai tvarkingą maketą.</p>

<p>Užsakymus galite atsiimti mūsų gamyboje Kaune arba pasirinkti patogų pristatymą kurjeriu visoje Lietuvoje. Jei ieškote patikimo partnerio savo šviečiančios reklamos projektams, <a href=""/kontaktai/"">susisiekite su Primum Print</a> – aptarsime Jūsų užsakymo detales.</p>",,
https://reklamai.lt/uv-spauda/,uv-spauda,Tiesioginė UV spauda,UV spauda,Tiesioginė UV spauda | Primum Print | reklamai.lt,"Tiesioginė plokščiaatspaudė (flatbed) UV spauda ant medžio, stiklo, plastiko ir metalo. Nepriekaištinga raiška ir atsparumas įbrėžimams.","index, follow",page,20,,FALSE,"<p><strong>Tiesioginė UV spauda</strong> (plokščiaatspaudis arba flatbed spausdinimas) – tai pažangi technologija ir technika, kuomet atspaudas daromas tiesiai ant pasirinkto paviršiaus specialiais skystais polimeriniais dažais. UV šviesos (ultravioletinių lempų) pagalba dažai akimirksniu sukietinami, todėl paviršius iškart tampa sausas, nereikalauja papildomo apsauginio lako ar laminavimo ir yra visiškai paruoštas naudojimui.</p>

<p>Šis metodas užtikrina išskirtinę fotografinę kokybę, nepriekaištingą detalių atkūrimą bei ekologiškumą – naudojami polimeriniai dažai neišskiria kenksmingų medžiagų ir yra saugūs aplinkai.</p>

<h3>Technologiniai privalumai ir ilgaamžiškumas</h3>
<ul>
    <li><strong>Momentinis paruošimas:</strong> Nereikia laukti, kol dažai išdžius, kas ženkliai pagreitina gamybos procesus.</li>
    <li><strong>Atsparumas aplinkos veiksniams:</strong> Polimerinis sluoksnis saugo spaudą nuo blukimo, mechaninio trynimo, drėgmės bei temperatūros svyravimų, todėl sprendimas puikiai tinka tiek vidaus erdvėms, tiek lauko reklamai.</li>
    <li><strong>Balta spalva ir skaidrumas:</strong> Galimybė spausdinti balta spalva (CMYK + balta) bei valdyti skaidrumus atveria neribotas dizaino galimybes ant tamsių ar skaidrių paviršių.</li>
    <li><strong>Gruntavimas (primer):</strong> Sudėtingesniems paviršiams naudojamas automatinis gruntavimas tiesiog prieš spaudą, užtikrinantis maksimalų sukibimą.</li>
</ul>

<h3>Galimi spaudos pagrindai ir medžiagos</h3>
<p>Dėl modernių plokščiųjų (flatbed) ir ruloninių ploterių galime spausdinti ant itin plačios standžių bei lanksčių medžiagų paletės, kurių storis siekia iki 100 mm (maksimalus stalo plotas iki 2,80 m x 3,20 m):</p>
<ul>
    <li><strong>Plastikai ir kompozitai:</strong> Pleksi (akrilas), PVC, PET, dibondo (aliuminio kompozito) plokštės.</li>
    <li><strong>Interjero ir baldų elementai:</strong> Stiklas, keramika, baldų plokštės, medis, fanera, MDF, metalas.</li>
    <li><strong>Tekstilė ir ruloniniai gaminiai:</strong> Drobė (canvas), skajus, natūralios bei sintetinės medžiagos iš rulono.</li>
</ul>

<p>UV spauda plačiai naudojama reklaminėms iškaboms, stendams, reprezentacinėms plokštėms, interjero dekoravimui bei originaliems nestandartiniams gaminiams kurti. Platesnį spaudos paslaugų spektrą galite apžvelgti bendroje <a href=""/spauda/"">plačiaformatės spaudos apžvalgoje</a>.</p>

<p>Jeigu turite specifinį projektą ar norite sužinoti geriausią gamybos būdą savo idėjai, <a href=""/kontaktai/"">susisiekite su Primum Print komanda</a> – padėsime įgyvendinti net pačius originaliausius sumanymus.</p>",,
https://reklamai.lt/drobes/,drobes,Fotodrobių spausdinimas,Fotodrobės,Fotodrobių spausdinimas | Primum Print | reklamai.lt,"Fotodrobių gamyba verslui ir interjerui. Aukščiausia spaudos raiška, natūralios tekstūros, sodrios spalvos ir individualūs matmenys.","index, follow",page,35,,FALSE,"<p>Individualaus dizaino fototapetai ir spaustuviniai tapetai – tai efektyvus, stilingas ir ilgaamžis būdas greitai pakeisti bet kurio interjero išvaizdą. Tinkamai parinkta ir kokybiškai atspausdinta grafika tampa stipriu akcentu, kuris kuria išskirtinę atmosferą biuruose, parduotuvėse, restoranuose, viešosiose erdvėse ar edukacinėse įstaigose bei stiprina prekės ženklo įvaizdį.</p>

<h3>Pritaikymo galimybės ir sprendimai</h3>
<p>Modernios spaudos technologijos leidžia neribotai eksperimentuoti su vizualiniu įvaizdziu:</p>
<ul>
    <li><strong>Įmonėms ir biurams:</strong> Įmonės logotipas, firminės spalvos, gaminio grafika ar įkvepiantys peizažai padeda palaikyti vieningą vizualinį stilių (brand identity) ir sukuria profesionalią aplinką darbuotojams bei klientams.</li>
    <li><strong>Restoranams ir viešbučiams:</strong> Unikalios tekstūros, meninės kompozicijos ar kulinariniai motyvai formuoja išskirtinę erdvės nuotaiką ir įsimena lankytojams.</li>
    <li><strong>Mokykloms ir vaikų darželiams:</strong> Draugiški, kūrybiškumą skatinantys motyvai kuria įkvepiančią, saugią bei šiltą atmosferą ugdymo įstaigose.</li>
</ul>

<h3>Medžiagų tipai ir spaudos technologijos</h3>
<p>Gamyboje naudojame patikimus, laiko patikrintus spaudos pagrindus bei saugias medžiagas:</p>
<ul>
    <li><strong>Medžiagų pasirinkimas:</strong> Siūlome lateksinį popierių, flizelino (fleece) pagrindą bei neaustines tekstūrines medžiagas. Papildomai galima padengti matiniu laminatu, kuris apsaugo nuo subraižymų ir nusidėvėjimo.</li>
    <li><strong>Paviršiaus struktūros:</strong> Galimos įvairios tekstūros – smėlio (sand) imitacija, drobės (canvas) pynimas arba lygi matinė (smooth) danga be blizgesio.</li>
    <li><strong>Lateksinė spauda:</strong> Naudojami ekologiški, bekvapiai dažai, kurių sudėtyje nėra toksiškų medžiagų. Metodas užtikrina išraiškingas, sodrias spalvas ir didelį atsparumą blukimui nuo saulės spindulių.</li>
</ul>

<h3>Pagrindiniai fototapetų privalumai</h3>
<ul>
    <li><strong>Estetika ir išskirtinumas:</strong> Galimybė sukurti vientisą koliažą iš kelių kliento nuotraukų arba parinkti profesionalią grafiką iš vizualinių bankų.</li>
    <li><strong>Ilgaamžiškumas:</strong> Atsparumas blukimui, drėgmei ir mechaniniam poveikiui užtikrina nepriekaištingą išvaizdą ilgam laikui.</li>
    <li><strong>Lankstumas:</strong> Gaminame pagal individualius matmenis ir poreikius – nuo nedidelių plotų iki didelės apimties sienų dekoravimo projektų.</li>
</ul>

<p>Jei norite atnaujinti interjerą ar ieškote nestandartinio sprendimo savo verslo erdvei, <a href=""/kontaktai/"">susisiekite su Primum Print biuru</a> – padėsime pasirinkti tinkamiausią medžiagą ir įgyvendinti sumanymą.</p>",,
https://reklamai.lt/tentai/,tentai,Reklaminių tentų gamyba,Tentai,Reklaminių tentų gamyba | Primum Print | reklamai.lt,"Reklaminių tentų gamyba lauko reklamai. Visiems oro sąlygoms atsparios medžiagos, sutvirtinti kraštai, metalinės kilpos (liuvesiai), ilgaamžė spauda.","index, follow",page,40,,FALSE,"<p><strong>Reklaminiai tentai</strong> – tai viena efektyviausių, ekonomiškiausių ir universaliausių lauko bei vidaus reklamos priemonių, užtikrinanti puikų matomumą nedidelėmis sąnaudomis. Šis sprendimas plačiai naudojamas ant pastatų fasadų, statybviečių tvorų, renginių atitvarų, parodų stendų ar transporto priemonių šonų.</p>

<p>Gamyboje naudojame patikimas, drėgmei, UV spinduliams ir temperatūros svyravimams atsparias medžiagas. Vientisas tentas gali būti spausdinamas iki 2,5 m pločio, o didesnio formato projektai profesionaliai sujungiami iš kelių dalių, išlaikant vientisą bei estetišką vaizdą.</p>

<h3>Medžiagų tipai ir konstrukciniai sprendimai</h3>
<p>Priklausomai nuo pask</i>irties ir montavimo vietos, siūlome kelis patikimus audinių tipus:</p>
<ul>
    <li><strong>Lietas PVC tentas (Frontlit):</strong> Ypač tvirtas ir atporus mechaniniam poveikiui audinys, skirtas didesniems plotams arba ilgalaikei ekspozicijai lauko sąlygomis.</li>
    <li><strong>Laminuotas PVC tentas:</strong> Optimalus, ekonomiškas pasirinkimas trumpesnio laikotarpio ar vidaus projektams.</li>
    <li><strong>Mesh (perforuotas tinklelis):</strong> Tinklelio struktūros medžiagėla, praleidžianti vėją, todėl idealiai tinka didelėms reklamoms ant vėjuotų fasadų, statybviečių ar tvorų, sumažinant vėjo pasipriešinimą.</li>
    <li><strong>Reflektiniai ir specialūs tentai:</strong> Atspindintys šviesą audiniai, užtikrinantys matomumą tamsiu paros metu.</li>
</ul>

<h3>Kokybiškas apdirbimas ir tvirtinimas</h3>
<p>Kiekvienas tentas gaminamas pagal individualų užsakymą, užtikrinant profesionalų techninį paruošimą:</p>
<ul>
    <li><strong>Kraštų stiprinimas:</strong> Kraštai užlenkiami ir suvirinami, kad būtų išvengta plyšimų ir užtikrintas konstrukcijos stabilumas.</li>
    <li><strong>Metaliniai žiedai (liuvesiai):</strong> Montavimo kilpos kalami standartiškai kas 30 cm, užtikrinant tolygų tento įtempimą lynais ar dirželiais.</li>
    <li><strong>Paprasta priežiūra:</strong> Paviršiu pakanka nuplauti vandeniu, nenaudojant agresyvių cheminių valiklių.</li>
</ul>

<p>Plačiaformatė spauda leidžia pasiekti ryškias, sodrias spalvas ir puikų detalių atkūrimą. Daugiau informacijos apie taikomas technologijas rasite mūsų <a href=""/spauda/"">plačiaformatės spaudos skyriuje</a>.</p>

<p>Priimame užsakymus tiek vienetiniams projektams, tiek dideliems tiražams. Jei norite užsisakyti reklaminius tentus ar pasitarti dėl tinkamiausios medžiagos pasirinkimo, <a href=""/kontaktai/"">susisiekite su Primum Print komanda</a> – padėsime rasti geriausią sprendimą Jūsų verslui.</p>",,
https://reklamai.lt/etiketes/,etiketes,Lipdukų ir etikečių gamyba,Etiketės ir lipdukai,Lipdukų ir etikečių gamyba | Primum Print | reklamai.lt,"Aukščiausios kokybės lipdukai ir etiketės. Itin stiprūs, drėgmei ir UV spinduliams atsparūs klijai, nepriekaištinga spaudos raiška bei gamyba pagal individualius poreikius.","index, follow",page,50,,FALSE,"<p><strong>Lipdukai ir lipnios etiketės</strong> – tai esminis prekių ženklo elementas, naudojamas produkcijos žymėjimui, pakuočių apdailai, informciniams tikslams ir efektyviai lauko ir vidaus reklamai. Kokybiškai pagaminta etiketė ne tik suteikia visą reikalingą techninę informaciją, bet ir formuoja profesionalų įmonės įvaizdį bei patraukliai pristato produktą pirkėjui.</p>

<p>Gamyboje taikome pažangias spaudos technologijas, leidžiančias operatyviai įgyvendinti tiek nedidelius vienetinius užsakymus, tiek didelius pramoninius tiražus.</p>

<h3>Medžiagų pasirinkimas ir technologiniai sprendimai</h3>
<p>Priklausomai nuo gaminio paskirties ir naudojimo sąlygų, siūlome platų patikimų medžiagų ir apdirbimo būdų spektrą:</p>
<ul>
    <li><strong>Lipdukai ant folijos (solventinė ir UV spauda):</strong> Atsparūs drėgmei, temperatūros svyravimams bei UV spinduliams. Idealiai tinka lauko sąlygoms, vitrinoms, automobiliams ar techniniams įrenginiams.</li>
    <li><strong>Popierinės etiketės (skaitmeninė spauda):</strong> Ekonomiškas pasirinkimas maisto produktams, kosmetikai, dėžėms ir pakuotėms. Galimas blizgus arba matinis padengimas.</li>
    <li><strong>Etiketės ant ritinių:</strong> Optimizuotas sprendimas gamybiniam pakavimui, kosmetikos, maisto bei logistikos pramonei.</li>
    <li><strong>Specialūs efektai ir apsauga:</strong> Galimybė padengti etiketes apsauginiu laminatu, naudoti skaidrią foliją, metalizuotus elementus ar tūrines 3D (doming) etiketes su dervos sluoksniu.</li>
</ul>

<h3>Pritaikymo sritys</h3>
<p>Mūsų gaminami lipdukai ir etiketės pritaikomi įvairiuose sektoriuose:</p>
<ul>
    <li><strong>Pramonė ir e-komercija:</strong> Produktų pakuotės, stiklainiai, buteliai, siuntų žymėjimas ir logistikos etiketės.</li>
    <li><strong>Paslaugos ir prekyba:</strong> Vitrinų dekoravimas, inventoriaus žymėjimo lentelės, informaciniai bei įspėjamieji ženklai.</li>
    <li><strong>Namai ir biuras:</strong> Dokumentų archyvavimas, asmeninių daiktų ar taros organizavimas.</li>
</ul>

<p>Kiekvienas užsakymas vertinamas individualiai – parenkamas optimalus išskirtinis formos iškirtimas po obrysą (ploterinis pjaustymas), klijų stiprumas bei apdaila. Daugiau bendrųjų spaudos galimybių galite rasti mūsų <a href=""/spauda/"">plačiaformatės spaudos skiltyje</a>.</p>

<p>Jei norite užsisakyti lipdukus ar etiketes savo verslui arba turite specifinį projektą, <a href=""/kontaktai/"">susisiekite su Primum Print komanda</a> – padėsime parinkti geriausias medžiagas ir paruošime tikslią gamybos sąmatą.</p>",,
https://reklamai.lt/iskabos-sviesdezes/,iskabos-sviesdezes,Reklaminių iškabų ir šviesdėžių gamyba,Iškabos ir šviesdėžės,Reklaminės iškabos ir šviesdėžės | Primum Print | reklamai.lt,"Reklaminių iškabų ir šviesdėžių gamyba verslui. Ilgaamžiai apšvietimo sprendimai, ryškus matomumas.","index, follow",page,,,TRUE,,,
https://reklamai.lt/lenteles/,lenteles,Informacinių lentelių ir ženklų gamyba,Lentelės ir ženklai,Informacinių lentelių gamyba | Primum Print | reklamai.lt,"Gamybinių lentelių, informacinių ženklų ir nuorodų gamyba. Mechaninis atsparumas, aiškus matomumas, ilgaamžės plastiko bei metalo medžiagos ir individualūs sprendimai.","index, follow",page,60,,FALSE,"<p><strong>Informacinės lentelės ir ženklai </strong> – tai esminiai reprezentaciniai, orientaciniai bei komunikaciniai elementai, užtikrinantys aiškią tvarką biuruose, įstaigose, gamybinėse patmonėse, gydymo įstaigose bei viešosiose erdvėse. Profesionaliai pagaminta lentelė padeda lankytojams orientuotis aplinkoje ir formuoja solidų įmonės įvaizdį.</p>

<p>Gamyboje taikome pažangias tiesioginio UV spausdinimo, skaitmeninio spaudos perkėlimo ant folijos su laminavimu, ploterinio pjaustymo bei CNC frezavimo technologijas, leidžiančias įgyvendinti bet kokį individualų projektą jau nuo 1 vieneto.</p>

<h3>Platus medžiagų ir konstrukcijų pasirinkimas</h3>
<p>Priklausomai nuo paskirties, montavimo vietos (vidaus erdvėse ar lauko sąlygomis) bei estetinių reikalavimų, siūlome įvairius pagrindus ir gamybinius sprendimus:</p>
<ul>
    <li><strong>PCV plastikas:</strong> Lengva, ekonomiškja ir universali medžiaga (nuo 1 iki 10 mm storio). Idealiai tinka individualaus dizaino informacinėms lentelėms, kabinetų žymėjimui ir pranešimams.</li>
    <li><strong>Plexi (akrilas):</strong> Elegantiškas, stiklą imituojantis skaidrus, opalinis ar spalvotas plastikas, naudojamas reprezentacinėms biuro lentelėms, logotipams stendų zonose ir šviesdėžių frontams.</li>
    <li><strong>Dibondo kompozitas:</strong> Aliuminio plokštės su polietileno šerdimi. Ypač tvirtos, standžios ir ilgaamžės plokštės, atsparios išorės poveikiui.</li>
    <li><strong>Cinkuota skarda:</strong> Metaliniai sprendimai, pasižymintys išskirtiniu tvirtumu ir naudojami vietose, kur reikalinga didesnė apsauga nuo vandalizmo ar mechaninių pažeidimų.</li>
    <li><strong>Polikarbonatas:</strong> Lengvas, ekonomiškas sprendimas lauko iškaboms ir šviesdėžių priekinėms dalims.</li>
    <li><strong>Modulinės ir specialios sistemos:</strong> Modulinės lentelės, patogios keičiamai informacijai poliklinikose bei įstaigose, taip pat CNC frezuota mediena ar fanera natūraliam interjerui.</li>
</ul>

<h3>Individualus projektas ir gamybos technologijos</h3>
<p>Kiekvienas gaminys ruošiamas pagal Jūsų pateiktus matmenis ir grafiką:</p>
<ul>
    <li><strong>Tiesioginis UV spausdinimas:</strong> Pažangi technologija, leidžianti spausdinti tiesiai ant standaus pagrindo (iki 10 mm storio). Užtikrina didelį atsparumą blukimui, drėgmei ir atmosferos poveikiui.</li>
    <li><strong>Laminuota spauda:</strong> Kokybiškas lateksinis arba ekosolventinis spaudos būdas ant folijos su apsauginiu UV laminatu, klijuojamu ant plokštės.</li>
    <li><strong>Pilna personalizacija:</strong> Galimybė gaminti pagal individualų užsakymą, pritaikant norimą grafiką, dydį, formą bei montavimo komplektaciją.</li>
</ul>

<p>Plačesnį spaudos technologijų spektrą rasite apsilankę mūsų <a href=""/spauda/"">plačiaformatės spaudos skiltyje</a>.</p>

<p>Jeigu turite paruoštą maketą arba norite pasikonsultuoti dėl geriausio techninio sprendimo Jūsų įstaigai ar verslui, <a href=""/kontaktai/"">susisiekite su Primum Print komanda</a> – paruošime individualų pasiūlymą.</p>",,
